Name,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20
John,12,12,7,29,15,12,9,11,9,9,5,2
Alfred,6,2,4,0,1,0,4,0,5,2,0,3
Jack,0,2,0,0,4,5,2,0,4,0,4,0
Sarah,5,3,0,2,3,1,2,3,0,2,4,1
Jacob,0,8,4,1,4,0,0,0,0,0,3,0
Ethan,2,0,2,3,0,0,0,4,0,0,0,2
Caroline,0,5,0,0,0,0,0,0,0,5,2,0
Justin,0,8,4,3,1,2,2,0,0,0,3,0
MJ,0,0,0,3,0,1,0,0,0,0,0,5
Joan,3,0,3,0,0,0,2,0,0,0,0,0
Molly,0,0,0,0,0,3,0,0,2,0,0,0
Bruce,0,0,0,0,0,0,0,5,0,1,0,2
Julia,5,0,0,14,3,1,1,0,9,0,2,0
Gage,0,0,0,0,0,0,3,0,5,0,0,3
Taylor,0,0,0,0,4,0,0,0,0,0,0,3
Drea,1,0,0,3,0,6,0,0,4,4,3,5
Sam,3,5,4,5,2,4,0,3,0,0,0,6
Cathy,0,0,0,0,0,4,0,0,0,4,0,0
Charlie,0,0,0,11,3,0,1,0,0,3,0,0
Farrah,0,5,0,0,0,0,0,0,0,3,0,0
Carl,0,0,0,0,0,0,0,0,0,0,5,2
Bob,0,0,0,0,1,0,0,0,0,0,4,0
Marin,6,0,0,0,0,0,2,0,0,0,0,0
David,0,0,0,0,0,4,0,0,3,0,1,0
Joe,0,3,5,0,4,4,0,2,0,0,0,4
Ariana,3,0,0,0,0,0,3,0,0,3,0,0
Eliza,0,4,0,0,0,0,0,3,0,0,0,0
Jessica,0,2,3,0,0,0,0,0,0,0,0,1
Emily,5,0,0,0,0,0,0,0,2,0,0,4
Denise,0,0,4,0,0,0,4,0,0,0,0,3
Ann,0,0,0,0,1,2,0,0,0,0,0,2
Alex,0,0,4,0,0,5,0,5,0,0,0,0
Elise,0,0,0,0,4,4,4,0,0,0,0,0
